incident_id,timestamp,location,municipality,species,severity,source,operator,aircraft_type,phase_of_flight,time_of_day,height,speed,effect,sky,birds_seen,birds_struck,remarks,latitude,longitude,timestamp_weather,temperature,precipitation,wind_speed,visibility,condition,road_segment_id,speed_limit,road_type,curvature,lane_count,surface_type,hour,month,is_night,is_weekend,high_precipitation,high_risk_target
BIRD-000042,1991-09-26 12:00:00,ME,ME,GULLS,medium,FAA_bird_strike_dataset,BUSINESS,C-402,Climb,Day,30.0,100.0,,Overcast,10-Feb,10-Feb,"DAMAGE UNKN, FLT TO BTV WAS CONTINUED. ATIS WARNING & L.C.",,,,,,,,,,,,,,,12,9,0,0,0,0
BIRD-000043,1991-09-28 12:00:00,NJ,NJ,ROCK PIGEON,low,FAA_bird_strike_dataset,CONTINENTAL AIRLINES,B-737-300,Take-off run,Day,0.0,,,No Cloud,,1,FLT 509.,,,,,,,,,,,,,,,12,9,0,1,0,0
BIRD-000044,1993-07-06 12:00:00,NY,NY,RING-NECKED PHEASANT,low,FAA_bird_strike_dataset,KALITTA CHARTERS,LEARJET-23,Landing Roll,Day,0.0,100.0,,Some Cloud,,1,,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000045,1990-05-16 22:00:00,NY,NY,UNKNOWN BIRD - LARGE,low,FAA_bird_strike_dataset,UPS AIRLINES,B-727,Approach,Night,500.0,130.0,,Overcast,,1,"NO DAMAGE FOUND IN INITIAL CHECK, FURTHER CHECKS NEEDED DURING  DAYLIGHT.",,,,,,,,,,,,,,,22,5,1,0,0,0
BIRD-000046,1990-11-25 12:00:00,SC,SC,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,HENSON,DHC8 DASH 8,Take-off run,Day,0.0,100.0,,No Cloud,,1,NO DAMAGE. FLT 4420,,,,,,,,,,,,,,,12,11,0,1,0,0
BIRD-000047,1990-10-04 12:00:00,WI,WI,GULLS,low,FAA_bird_strike_dataset,MIDWEST AIRLINES,DC-9-10,Approach,Day,100.0,125.0,,No Cloud,10-Feb,1,ATIS WARNING. NO DAMAGE.,,,,,,,,,,,,,,,12,10,0,0,0,0
BIRD-000048,1994-08-12 18:00:00,NY,NY,RED-TAILED HAWK,low,FAA_bird_strike_dataset,BUSINESS,LOCKHEED C-130,Take-off run,Dusk,0.0,,,Some Cloud,,1,,,,,,,,,,,,,,,,18,8,0,0,0,0
BIRD-000049,1994-08-12 12:00:00,MI,MI,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,NORTHWEST AIRLINES,DC-9,Take-off run,Day,0.0,160.0,,Overcast,,1,RAIN. REMAINS NOT FOUND.,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000050,1991-10-22 18:00:00,OH,OH,UNKNOWN BIRD - SMALL,high,FAA_bird_strike_dataset,US AIRWAYS,B-737-200,Climb,Dusk,30.0,140.0,Precautionary Landing,No Cloud,11-100,1,SMALL DENT IN HORIZ STABL. #2 ENG BEING CHECKED.,,,,,,,,,,,,,,,18,10,0,0,0,1
BIRD-000051,1991-07-31 12:00:00,VA,VA,SPARROWS,low,FAA_bird_strike_dataset,US AIRWAYS,FK-28-1000,Approach,Day,50.0,125.0,,Some Cloud,,1,,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000052,1990-09-20 12:00:00,LA,LA,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNKNOWN,CESSNA UNKN,Approach,Day,,,,,,1,"NO DAMAGE. # BIRDS SEEN OR STRUCK NOT REPTD, ASSUME 1.",,,,,,,,,,,,,,,12,9,0,0,0,0
BIRD-000053,1991-05-04 12:00:00,KY,KY,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,DELTA AIR LINES,B-727,Approach,Day,3000.0,180.0,,Overcast,,1,NO DAMAGE/INJURY,,,,,,,,,,,,,,,12,5,0,1,0,0
BIRD-000054,1990-06-01 06:00:00,ON,ON,GULLS,low,FAA_bird_strike_dataset,US AIRWAYS,B-737-200,Take-off run,Dawn,0.0,136.0,,No Cloud,10-Feb,1,DAMAGED 1ST & 2ND STAGE FANS. FLT 260,,,,,,,,,,,,,,,6,6,0,0,0,0
BIRD-000055,1996-08-11 12:00:00,CO,CO,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-500,Approach,,,,,,,1,R SIDE OF FUSELAGE. FORWARD OF THE PITOT TUBES. TOWER AND MX NOTIFIED. NO DAMAGE.,,,,,,,,,,,,,,,12,8,0,1,0,0
BIRD-000056,1990-10-10 12:00:00,TX,TX,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-757-200,Approach,,600.0,130.0,,Overcast,,1,NO DAMAGE,,,,,,,,,,,,,,,12,10,0,0,0,0
BIRD-000057,1992-03-08 12:00:00,CA,CA,GULLS,low,FAA_bird_strike_dataset,SKYWEST AIRLINES,MERLIN III,Landing Roll,Day,0.0,,,Some Cloud,,1,,,,,,,,,,,,,,,,12,3,0,1,0,0
BIRD-000058,1990-06-13 12:00:00,UNKNOWN,UNKNOWN,DOVES,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-727,Take-off run,,0.0,140.0,,Some Cloud,,1,NO DAMAGE. TIME = 1858Z,,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000059,1993-08-09 12:00:00,MI,MI,RED-TAILED HAWK,high,FAA_bird_strike_dataset,COMAIR AIRLINES,SAAB-340,Take-off run,Day,0.0,98.0,Aborted Take-off,Overcast,,1,,,,,,,,,,,,,,,,12,8,0,0,0,1
BIRD-000060,1993-08-30 12:00:00,NC,NC,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Approach,Day,400.0,130.0,,Some Cloud,,1,,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000061,1993-10-14 22:00:00,WA,WA,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737,Climb,Night,,,,,,1,FLT 1438. TIME = 1347Z. HIT A BIRD ON DEPTR. NO DAMAGE REPTD.  CONTD TO DENVER W/O INCIDENT.,,,,,,,,,,,,,,,22,10,1,0,0,0
BIRD-000062,1990-11-30 12:00:00,IL,IL,HAWKS,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,DC-10-30,Climb,Day,2500.0,330.0,,No Cloud,,1,"LARGE, POSSIBLY EAGLE",,,,,,,,,,,,,,,12,11,0,0,0,0
BIRD-000063,1990-10-01 12:00:00,CA,CA,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,WESTAIR COMMUTER,BA-31 JETSTR,Take-off run,Day,0.0,91.0,,No Cloud,,1,NO DAMAGE. FLT 296.,,,,,,,,,,,,,,,12,10,0,0,0,0
BIRD-000064,1991-03-03 12:00:00,NC,NC,GULLS,low,FAA_bird_strike_dataset,BUSINESS,PA-44 SEMINOLE,Climb,Day,30.0,100.0,,Overcast,10-Feb,1,,,,,,,,,,,,,,,,12,3,0,1,0,0
BIRD-000065,1996-08-11 12:00:00,TN,TN,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-200,Landing Roll,,0.0,,,,,1,MX INSPN. NO DAMAGE.,,,,,,,,,,,,,,,12,8,0,1,0,0
BIRD-000066,1996-05-29 12:00:00,MO,MO,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-200,Climb,,,,,,,1,"LEFT SIDE OF A/C #1 ENGINE AT ROTATION. ENGINE INDICATION WERE NORMAL, CONT. FLIGHT.",,,,,,,,,,,,,,,12,5,0,0,0,0
BIRD-000067,1995-05-30 12:00:00,CA,CA,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,UNITED AIRLINES,DC-10-10,Climb,,,,,,10-Feb,1,"AT ROTATION, ENCOUNTERED 5 OR 6 PIGEON SIZED BIRDS. 1 CONFIRMED STRIKE ABOVE CAPT CLEARVIEW WINDSHIELD. ALL ENGINE INDICATIONS NORMAL. CREW CALLED SAM AFTER DEPARTURE.",,,,,,,,,,,,,,,12,5,0,0,0,0
BIRD-000068,1995-06-13 12:00:00,UNKNOWN,UNKNOWN,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-500,,,,,,,,1,ABOVE WINDOW L1. A/C EXTERIOR  INSPECT AFTER LANDING. NO APPARENT DAMAGE. SAM WAS CALLED AND CREW DETERMINED A/C AIRWORTHY. LOG WRITE UP.,,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000069,1995-06-16 12:00:00,UNKNOWN,UNKNOWN,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-200,,,,,,,,1,MECH. WALKAROUND AT ORD FOUND SIGNIFICANT DAMAGE TO #2 ENGINE. BIRD EVID. PRESENT ON STATOR AND ROTOR BLADES OF FAN SECTION. DAMAGE TO AT LEAST ONE FAN BLADE SEEMED TO BE EXTREME .,,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000070,1995-06-21 12:00:00,WI,WI,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-200,Climb,,,,,,,1,"AT LIFTOFF, BIRD INGESTED INTO #2 ENGINE RESULTING IN A POP. ENGINE OPERATION NORMAL. MX ADVISED AND A/C INSPECTED AT ORD. NO DAMAGE FOUND.",,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000071,1990-11-30 12:00:00,FL,FL,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,UNKNOWN,PA-28,Take-off run,Day,0.0,60.0,,No Cloud,,1,MINOR DAMAGE TO COWLING BEHIND NOSE WHEEL. TEAL?,,,,,,,,,,,,,,,12,11,0,0,0,0
BIRD-000072,1990-07-09 12:00:00,WA,WA,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,NORTHWEST AIRLINES,DC-10,Climb,Day,2000.0,200.0,,No Cloud,,1,"SEA ATCT REPORTS FLT 150 WAS 8 NM NORTH OF SEA TAC WHEN  THEY REPTD THEY THOUGHT THEY HIT A BIRD, THERE WAS NO APPARENT DAMAGE.",,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000073,1992-06-18 12:00:00,TX,TX,UNKNOWN BIRD,low,FAA_bird_strike_dataset,METROFLIGHT,SAAB-340,Take-off run,Day,0.0,,,,,1,"FLT 899, DFW-FYV, REPTD A BIRD STRIKE ON DEPT.  NO APPARENT AC  DAMAGE.",,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000074,1992-12-02 12:00:00,VA,VA,UNKNOWN BIRD - SMALL,medium,FAA_bird_strike_dataset,BUSINESS,PA-60 600,Approach,Day,100.0,106.0,,Some Cloud,10-Feb,10-Feb,1 BIRD IN COWLING. A FLOCK OF SPARROWS OR STARLINGS SUDDENLY  SWARMED UP AS WE WERE LANDING. NO DAMAGE.,,,,,,,,,,,,,,,12,12,0,0,0,0
BIRD-000075,1990-11-08 22:00:00,NY,NY,UNKNOWN BIRD,high,FAA_bird_strike_dataset,US AIRWAYS,B-737-200,Climb,Night,60.0,230.0,Precautionary Landing,No Cloud,,1,RETD FOR ENG INSPN. TIME OUT OF SVC WAS 2 HR 35 MIN.,,,,,,,,,,,,,,,22,11,1,0,0,1
BIRD-000076,1992-09-29 12:00:00,NY,NY,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,NASHVILLE EAGLE,SHORTS 360,Descent,Day,2500.0,190.0,,Some Cloud,,1,BODY NOT RECOVERED.,,,,,,,,,,,,,,,12,9,0,0,0,0
BIRD-000077,1992-11-06 12:00:00,CA,CA,"DUCKS, GEESE, SWANS",medium,FAA_bird_strike_dataset,SOUTHWEST AIRLINES,B-737-500,Approach,Day,1200.0,140.0,,No Cloud,10-Feb,10-Feb,MAINT INSPN FOUND BLOOD & FEATHERS IN NOSE GEAR AREA & UPPER  FORWARD WINDSHLD. NO STRUCTURAL DAMAGE FOUND.  HIT A FLOCK OF  WATERFOWL.  WARNING ON ATIS,,,,,,,,,,,,,,,12,11,0,0,0,0
BIRD-000078,1990-10-22 22:00:00,TX,TX,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Approach,Night,3500.0,180.0,,Some Cloud,,1,NO DAMAGE,,,,,,,,,,,,,,,22,10,1,0,0,0
BIRD-000079,1991-08-29 12:00:00,FL,FL,EGRETS,medium,FAA_bird_strike_dataset,US AIRWAYS,B-737-300,Landing Roll,Day,0.0,100.0,,Some Cloud,10-Feb,10-Feb,BIRD HIT CAPTAINS UPPER LEFT WINDSCREEN.,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000080,1991-08-23 22:00:00,TX,TX,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,SOUTHWEST AIRLINES,B-737-300,Approach,Night,4000.0,250.0,,Some Cloud,,1,NO DAMAGE/INJURY,,,,,,,,,,,,,,,22,8,1,0,0,0
BIRD-000081,1991-08-18 12:00:00,MA,MA,UNKNOWN BIRD,low,FAA_bird_strike_dataset,NANTUCKET AIRLINES,C-402,Take-off run,Day,0.0,,,,,1,STRUCK A BIRD ON DEPTR. NO DAMAGE WAS REPORTED. FLT 28. TIME =  1020EDT.,,,,,,,,,,,,,,,12,8,0,1,0,0
